Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Botswana,BWA,16.3669109344482,..,23.0535526275635,22.0042915344238,22.8162631988525,22.5610656738281,22.3420009613037,21.465087890625,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Brazil,BRA,..,..,12.697979927063,12.9940595626831,13.0888299942017,12.8152103424072,12.7402696609497,11.5625896453857,12.8002004623413,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,British Virgin Islands,VGB,..,..,13.2639818191528,12.8649091720581,12.6408929824829,10.2179975509644,..,11.8637142181396,10.8460683822632,12.2001657485962,11.0853033065796,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Brunei Darussalam,BRN,8.71026992797852,8.92074012756348,..,11.4419498443604,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Bulgaria,BGR,8.12325954437256,9.81768417358398,9.69010066986084,9.763916015625,10.1444025039673,9.54122543334961,10.4822626113892,9.45689678192139,10.561671257019,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Burkina Faso,BFA,..,..,18.0270805358887,..,21.4440002441406,22.661169052124,21.6566200256348,20.9924583435059,21.3924655914307,21.9580974578857,20.2971973419189,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Burundi,BDI,..,10.7352600097656,27.4972400665283,19.2901420593262,20.7077770233154,21.1151103973389,21.2221660614014,20.7419528961182,20.4385395050049,20.6370830535889,15.7270135879517,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cabo Verde,CPV,..,..,16.7482299804688,17.8430099487305,16.4125804901123,17.5685405731201,15.1536998748779,17.0901870727539,15.1129817962646,15.6936044692993,14.7047233581543,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cambodia,KHM,..,11.0790100097656,15.3179636001587,15.1154346466064,15.9425449371338,16.863468170166,18.9377002716064,17.1683502197266,15.7361831665039,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cameroon,CMR,..,11.6836996078491,13.243989944458,12.6946897506714,15.9128103256226,16.8831596374512,14.1786985397339,14.4511222839355,15.0479040145874,12.766975402832,13.0829515457153,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Canada,CAN,..,..,12.7445983886719,12.6629419326782,12.9404630661011,12.9341850280762,12.6524801254272,9.87754249572754,11.0546884536743,11.0546884536743,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cayman Islands,CYM,..,..,..,..,..,14.9241704940796,14.9581575393677,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Central African Republic,CAF,11.1400804519653,9.93076992034912,8.38674163818359,7.3190221786499,8.89505004882812,9.13549613952637,9.79781246185303,9.78244304656982,9.08869171142578,10.7420520782471,9.99392795562744,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Chad,TCD,..,12.8444900512695,..,..,16.3627490997314,..,14.2137899398804,11.6715059280396,15.3601703643799,16.7226104736328,16.484354019165,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Chile,CHL,..,16.4279098510742,19.5937099456787,21.1555995941162,21.3112392425537,21.3660697937012,21.2335300445557,19.3549995422363,14.8810195922852,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,China,CHN,..,..,12.2598295211792,12.2695617675781,12.1552953720093,11.4506902694702,11.2266368865967,10.5329275131226,10.8503179550171,10.5049028396606,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Comoros,COM,..,..,13.3536500930786,..,..,..,..,11.4759645462036,10.2856864929199,10.4760227203369,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Congo, Dem. Rep.",COD,..,..,15.7097797393799,14.6354198455811,13.5172300338745,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Congo, Rep.",COG,..,..,7.95039987564087,..,15.68577003479,15.5829000473022,17.0074214935303,17.0091400146484,16.5610046386719,15.5095014572144,14.7291526794434,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Costa Rica,CRI,..,18.8195095062256,23.3734302520752,23.4232006072998,30.1514205932617,26.086669921875,32.5915794372559,30.0822105407715,31.1666202545166,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cote d'Ivoire,CIV,..,20.8069496154785,21.1732196807861,22.3875999450684,20.6334991455078,18.2889003753662,19.8460693359375,18.5902500152588,16.2662792205811,15.9030103683472,15.9464101791382,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Croatia,HRV,..,11.201714515686,10.4640331268311,10.5424289703369,10.7396984100342,10.4801244735718,10.9761648178101,10.3530426025391,10.720606803894,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cuba,CUB,..,..,15.2635679244995,14.9375658035278,13.5649137496948,12.6599740982056,14.2259435653687,16.6611003875732,15.9666299819946,16.9599647521973,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Curacao,CUW,..,..,19.5018730163574,13.7020921707153,..,..,..,15.3129596710205,15.2769498825073,12.4153747558594,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Cyprus,CYP,..,14.7767457962036,13.863242149353,14.6343183517456,14.4133911132812,11.7928562164307,13.5074253082275,12.9371271133423,12.7362098693848,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Czechia,CZE,..,10.7525682449341,10.4988613128662,9.93392562866211,10.4360103607178,11.2675294876099,11.8427038192749,10.743049621582,10.8769035339355,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Denmark,DNK,..,11.9353685379028,12.8566246032715,12.9486169815063,12.7363147735596,12.6484069824219,12.7428998947144,11.6999034881592,11.8259592056274,11.8043584823608,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Djibouti,DJI,..,29.385950088501,8.57643985748291,15.1595897674561,15.6437196731567,14.4741497039795,..,..,..,..,..,..
