country,year,gdp_per_capita,total_score,gov_exp_edu,gov_effectiveness,rd_exp_gdp
Argentina,2017,14532.5009308511,65.8,5.45431995391846,58.5714302062988,0.556309998035431
Argentina,2018,11752.7998922979,69.1,4.87773990631104,52.8571434020996,0.488299995660782
Argentina,2019,9955.97478680428,66.2,4.7716498374939,48.0952377319336,0.478130012750626
Argentina,2020,8535.59938004389,66.0,5.27689981460571,43.3333320617676,0.541260004043579
Argentina,2021,10738.0179223384,67.5,4.64117002487183,37.1428565979004,0.522159993648529
Argentina,2022,13935.6811110049,67.9,4.80521011352539,41.5094337463379,0.549470007419586
Australia,2017,53901.7145392154,884.1,5.32125568389893,91.4285736083984,1.87918996810913
Australia,2018,57196.4220783778,983.3,5.40967607498169,92.3809509277344,1.8524450063705449
Australia,2019,54972.7017885437,941.1,5.50858879089355,92.3809509277344,1.82570004463196
Australia,2020,51791.540179984,987.7,5.37828016281128,92.8571395874023,1.84039503335953
Australia,2021,60607.7788605166,942.9,5.33320999145508,92.8571395874023,1.8550900220871
Australia,2022,64997.0136536475,981.1,5.20677661895752,92.9245300292969,1.8550900220871
Austria,2017,47163.7425775142,139.0,5.37159013748169,90.9523773193359,3.05656003952026
Austria,2018,51194.0749841299,141.3,5.22655010223389,90.9523773193359,3.09182000160217
Austria,2019,49885.9947355204,126.1,5.21779012680054,91.4285736083984,3.13264989852905
Austria,2020,48716.4098900349,130.3,5.57126998901367,93.8095245361328,3.20278000831604
Austria,2021,53648.7190742245,166.0,5.49411010742188,93.8095245361328,3.26360988616943
Austria,2022,52176.6649141178,169.1,4.77447128295898,91.5094375610352,3.20047998428345
Belarus,2022,7994.64806074889,34.9,4.62823009490967,20.7547168731689,0.47477000951767
Belgium,2017,44035.3239358548,318.7,6.42534017562866,85.7142868041992,2.66666007041931
Belgium,2018,47487.2100392561,324.5,6.38107013702393,86.1904754638672,2.86017990112305
Belgium,2019,46716.6227467964,287.6,6.33397006988525,82.8571395874023,3.15659999847412
Belgium,2020,45906.2875805246,287.8,6.80185985565186,84.2857131958008,3.39175009727478
Belgium,2021,51658.238294958,278.4,6.35551977157593,83.3333358764648,3.39239001274109
Belgium,2022,50822.2518538518,288.9,6.35551977157593,84.9056625366211,3.40544009208679
Brazil,2017,10080.5092819305,107.0,6.32047986984253,40.0,1.11749994754791
Brazil,2018,9300.66164923219,108.6,6.08851003646851,33.3333320617676,1.16769003868103
Brazil,2019,9029.83326681073,98.8,5.96346998214722,41.9047622680664,1.21096003055573
Brazil,2020,7074.19378337644,97.6,5.77150011062622,34.761905670166,1.14525997638702
Brazil,2021,7972.5366498646,94.0,5.4969801902771,33.8095245361328,1.14525997638702
Brazil,2022,9281.33334441234,97.19999999999999,5.4969801902771,31.1320762634277,1.14525997638702
Canada,2017,45129.628116623,733.1,4.95996999740601,96.6666641235352,1.68701994419098
Canada,2018,46539.1761570405,734.1,4.8889799118042,94.7619018554688,1.73720002174377
Canada,2019,46352.8693445211,674.9,4.77293014526367,95.7142868041992,1.75577998161316
Canada,2020,43537.839298904,636.0,4.88794994354248,93.3333358764648,1.93413996696472
