,missing_before,missing_after,reduced
2017 [YR2017],0,105,-105
2018 [YR2018],0,105,-105
2019 [YR2019],0,105,-105
2020 [YR2020],0,105,-105
2021 [YR2021],0,105,-105
2022 [YR2022],0,105,-105
