,missing_before,missing_after,reduced
2017 [YR2017],0,35,-35
2018 [YR2018],0,35,-35
2019 [YR2019],0,35,-35
2020 [YR2020],0,35,-35
2021 [YR2021],0,35,-35
2022 [YR2022],0,35,-35
