country,gdp_per_capita,year
"Micronesia, Fed. Sts.",3362.02793142215,2020
Moldova,4375.7788930524,2020
Monaco,176891.886538492,2020
Mongolia,4001.25193077703,2020
Montenegro,7612.62845881291,2020
Morocco,3268.0302734375,2020
Mozambique,462.433876479921,2020
Myanmar,1490.21683548367,2020
Namibia,3878.58982993966,2020
Nauru,10695.6993301601,2020
Nepal,1154.21517578318,2020
Netherlands,53467.9277413737,2020
New Caledonia,33270.330597637,2020
New Zealand,41850.92032802,2020
Nicaragua,1938.44704754382,2020
Niger,579.512495758236,2020
Nigeria,2019.65706326224,2020
North Macedonia,6659.59651070776,2020
Northern Mariana Islands,18220.8382427201,2020
Norway,68340.0181033702,2020
Oman,16784.8630630058,2020
Pakistan,1278.39735206896,2020
Palau,14556.5872302158,2020
Panama,13290.5608347594,2020
Papua New Guinea,2429.61134585269,2020
Paraguay,5365.47220721191,2020
Peru,6133.32552410183,2020
Philippines,3227.57910235199,2020
Poland,16150.9291009726,2020
Portugal,22299.4044062173,2020
Puerto Rico (US),31427.1130762831,2020
Qatar,51683.5054376677,2020
Romania,13082.3006559554,2020
Russian Federation,10108.3271484375,2020
Rwanda,778.701498787411,2020
Samoa,4099.6600907147,2020
San Marino,44426.6463400658,2020
Sao Tome and Principe,2167.22001796925,2020
Saudi Arabia,24338.8307301067,2020
Senegal,1461.08720350553,2020
Serbia,8098.70955668849,2020
Seychelles,14041.4754074575,2020
Sierra Leone,845.982914284565,2020
Singapore,61410.0792630788,2020
Sint Maarten (Dutch part),30150.8998380477,2020
Slovak Republic,19735.4858280801,2020
Slovenia,25392.0651093612,2020
Solomon Islands,2063.33101522108,2020
Somalia,518.184778494334,2020
South Africa,5580.60383075189,2020
Spain,27233.9426461608,2020
Sri Lanka,3847.60137695639,2020
St. Kitts and Nevis,18859.0190361046,2020
St. Lucia,8411.07474936367,2020
St. Martin (French part),20350.7167891227,2020
St. Vincent and the Grenadines,8351.20324040982,2020
Sudan,577.795227050781,2020
Suriname,4755.39221710693,2020
Sweden,52653.7565934247,2020
Switzerland,85897.7843338323,2020
Syrian Arab Republic,572.355289831901,2020
Tajikistan,834.311715460625,2020
Tanzania,1117.41528320313,2020
Thailand,6985.64393892574,2020
Timor-Leste,1630.86938521256,2020
Togo,853.578220263722,2020
Tonga,4700.44940541029,2020
Trinidad and Tobago,15358.8612973066,2020
Tunisia,3548.65363663803,2020
Turkiye,8638.73903848102,2020
Turkmenistan,6592.60146027748,2020
Turks and Caicos Islands,20690.9160546118,2020
Tuvalu,4976.11254109571,2020
Uganda,845.76646385001,2020
Ukraine,3709.76928710938,2020
United Arab Emirates,37173.8754093066,2020
United Kingdom,40404.8062238951,2020
United States,64401.5074354212,2020
Uruguay,15757.5355995779,2020
Uzbekistan,1978.28051860763,2020
Vanuatu,3042.98711598286,2020
Viet Nam,3534.03953482647,2020
Virgin Islands (U.S.),39787.3741650202,2020
West Bank and Gaza,3233.56863835858,2020
"Yemen, Rep.",559.564675805502,2020
Zambia,951.644316655957,2020
Zimbabwe,1730.45391034701,2020
Afghanistan,356.496214115892,2021
Albania,6413.28280828537,2021
Algeria,4160.55926736925,2021
American Samoa,15236.1604875571,2021
Andorra,42425.6996756291,2021
Angola,1925.87466082167,2021
Antigua and Barbuda,17348.6006987182,2021
Argentina,10738.0179223384,2021
Armenia,4685.17997128509,2021
Aruba,27200.0610793969,2021
