,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
207,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uruguay,URY,..,0.209250003099442,0.351090013980865,0.373910009860992,0.440519988536835,0.504840016365051,0.568050026893616,0.67467999458313,0.6144700050354,0.625919997692108,..,..
208,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Uzbekistan,UZB,..,0.360630005598068,0.164969995617867,0.172380000352859,0.148340001702309,0.123939998447895,0.113059997558594,0.13850000500679,0.131600007414818,0.158739998936653,0.125269994139671,..
209,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Vanuatu,VUT,..,..,..,..,,,,,,,..,..
210,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Venezuela, RB",VEN,..,..,0.439999997615814,0.689999997615814,,,,,,,..,..
211,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Viet Nam,VNM,..,..,0.356290012598038,..,0.418949991464615,0.417734995484352,0.416519999504089,0.4207299947738645,0.42493999004364,0.42493999004364,..,..
212,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,,,,,,,..,..
213,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,West Bank and Gaza,PSE,..,..,..,..,,,,,,,..,..
214,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Yemen, Rep.",YEM,..,..,..,..,,,,,,,..,..
215,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zambia,ZMB,..,..,..,..,,,,,,,..,..
216,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Zimbabwe,ZWE,..,..,..,..,,,,,,,..,..
